book_name,author,year,review
A Promised Land,Barack Obama,2020,
Piranesi,Susanna Clarke,2020,
All These Worlds,Dennis Taylor,2020,
For We Are Many,Dennis Taylor,2020,
We Are Legion (We Are Bob),Dennis Taylor,2020,
Breaking Bread with the Dead: A Reader’s Guide to a More Tranquil Mind,Alan Jacobs,2020,
Making and Breaking the Grid,Timothy Samasas,2020,
Elements of Typographical Style,Robert Bringhurst,2020,
Harry Potter and the Deathly Hallows,J.K. Rowling,2020,
In the Vineyard of the Text,Ivan Illich,2020,
Understanding Comics,Scott McCloud,2020,
"Enos, Jarom, Omni: A Brief Theological Introduction",Sharon J. Harris,2020,
Mosiah: A Brief Theological Introduction,James Faulconer,2020,
Harry Potter and the Half-Blood Prince,J.K. Rowling,2020,
Harry Potter and the Order of the Phoenix,J.K. Rowling,2020,
Jacob: A Brief Theological Introduction,Deire Nicole Green,2020,
Bearing God’s Name: Why Sinai Still Matters,Carmen Joy Imes,2020,
Second Foundation,Isaac Asimov,2020,
ESV Illuminated Scripture Journal: Revelation,Crossway,2020,
Reading Revelation Responsibly: Uncivil Worship and Witness,Michael Gorman,2020,
Harry Potter and the Goblet of Fire,J.K. Rowling,2020,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,2020,
The Frailest Thing: Ten Years of Thinking About the Meaning of Technology,L.M. Sacasas,2020,
Tabernacles of Clay: Sexuality and Gender in Modern Mormonism,Taylor Petrey,2020,
Harry Potter and the Chamber of Secrets,J.K. Rowling,2020,
Harry Potter and the Philosopher’s Stone,J.K. Rowling,2020,
Confessions of a Recovering Environmentalist,Paul Kingsnorth,2020,
The Power of Stillness: Mindful Living for Latter-day Saints,"Jacob Hess, Carrie Skarda, Kyle Anderson, Ty Mansfield",2020,
"Genesis for Normal People: A Guide to the Most Controversial, Misunderstood, and Abused Book of the Bible","Peter Enns, Jared Byas",2020,
Reforesting Faith: What Trees Teach Us About the Nature of God and His Love for Us,Matthew Sleeth,2020,
The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,Tom Nichols,2020,
And Then There Were None,Agatha Christie,2020,
How to Do Nothing: Resisting the Attention Economy,Jenny O'Dell,2020,
2 Nephi: A Brief Theological Introduction,Terryl Givens,2020,
On the Shortness of Life,"Seneca, C.D.N. Costa",2020,
Freemasons for Dummies,Christopher Hodapp,2020,
Lord of the Rings: The Return of the King,J.R.R. Tolkein,2020,
"The Elements of Music: Melody, Rhythm, and Harmony",Jason Martineau,2020,
Harmonograph: A Visual Guide to the Mathematics of Music,Anthony Ashton,2020,
1 Nephi: A Brief Theological Introduction,Joseph Spencer,2020,
Brigham Young: Pioneer Prophet,John Turner,2020,
Buried Treasures: Reading the Book of Mormon Again for the First Time,Michael Austin,2020,
Labor Diligently to Write: The Ancient Making of a Modern Scripture,Brant Gardener,2020,
Lord of the Rings: The Two Towers,J.R.R. Tolkein,2020,